uniprot_A,uniprot_B,Entry_name_A,Entry_name_B,Gene_A,Gene_B,org_A,org_B,interaction_type,V1,V2
P03495,Q93079,ns1_i72a2,h2b1h_human,NS,H2BC9,i72a2,human,association;,1,0
A0A142I5B9,P04843,A0A142I5B9,rpn1_human,A0A142I5B9,RPN1,ZIKVK,human,association;,4,0
O76013,Q69022,krt36_human,ebna2_ebva8,KRT36,EBNA2,human,ebva8,physical association;,1,0
A0A142I5B9,O95373,A0A142I5B9,ipo7_human,A0A142I5B9,IPO7,ZIKVK,human,association;,1,0
Q20MH3,Q15942,q20mh3_i33a0,zyx_human,NS1,ZYX,i33a0,human,physical association;,1,0
Q2MG95,Q99460,q2mg95_ebvb9,psmd1_human,BVLF1,PSMD1,ebvb9,human,association;,1,0
P19712,P37108,P19712,srp14_human,P19712,SRP14,CSFV,human,association;,1,1
P06921,Q8WWY3,ve2_hpv05,prp31_human,E2,PRPF31,hpv05,human,physical association;,1,1
B2BUF1,P20042,b2buf1_9infa,if2b_human,NS1,EIF2S2,influenza a virus (a/wyoming/03/2003(h3n2)),human,association;,1,0
O41951,Q15365,o41951_mhv68,pcbp1_human,34,PCBP1,mhv68,human,physical association;colocalization;,4,0
P0C739,P55786,bnl2a_ebvb9,psa_human,bnl2a_ebvb9,NPEPPS,ebvb9,human,association;,1,0
P06460,O15321,P06460,tm9s1_human,P06460,TM9SF1,hpv6b,human,association;,1,1
Q5EP28,Q9BYD1,q5ep28_9infa,rm13_human,NP,MRPL13,influenza a virus (a/viet nam/1203/2004(h5n1)),human,association;,1,0
P69901,Q96BI1,P69901,s22ai_human,P69901,SLC22A18,hpv11,human,association;,1,0
P0DTD1,P62873,p0dtd1-pro_0000449625,gbb1_human,rep,GNB1,SARS-CoV-2,human,association;,1,0
P03182,Q14699,ear_ebvb9,rftn1_human,ear_ebvb9,RFTN1,ebvb9,human,association;,1,0
Q1K9H5,P53007,q1k9h5_i33a0,txtp_human,PB1,SLC25A1,i33a0,human,association;,3,0
P68466,Q00610,k7_vaccw,clh1_human,k7_vaccw,CLTC,vaccw,human,association;,1,0
B4URF7,Q12789,b4urf7_i33a0,tf3c1_human,PB2,GTF3C1,i33a0,human,association;,1,0
P06493,P03070,cdk1_human,P03070,CDK1,P03070,human,sv40,direct interaction;,1,0
P03466,P09012,ncap_i34a1,snrpa_human,NP,SNRPA,i34a1,human,association;,4,0
Q86XZ4,P36780,spas2_human,ve2_hpv09,SPATS2,E2,human,Human papillomavirus type 9,physical association;,1,0
Q77M19,P18124,q77m19_measw,rl7_human,P,RPL7,measw,human,association;,2,0
P03126,Q14653,ve6_hpv16,irf3_human,E6,IRF3,hpv16,human,physical association;,1,0
P42356,Q99IB8,pi4ka_human,Q99IB8,PI4KA,Q99IB8,human,hcvjf,colocalization;physical association;,3,0
P04487,Q00839,rnb_hhv11,hnrpu_human,US11,HNRNPU,hhv11,human,association;,1,0
A0A142I5B9,P62829,A0A142I5B9,rl23_human,A0A142I5B9,RPL23,ZIKVK,human,association;,1,0
P68336,O75586,vp16_hhv2h,med6_human,Alpha-TIF,MED6,hhv2h,human,association;,1,0
C5E527,P10644,c5e527_9infa,kap0_human,PB2,PRKAR1A,A/New York/1682/2009(H1N1),human,association;,3,0
Q9Y5L0,P04585,tnpo3_human,p04585-pro_0000042447,TNPO3,gag-pol,human,hv1h2,direct interaction;,2,0
P06792,O43889,ve5_hpv18,creb3_human,E5,CREB3,hpv18,human,physical association;,1,0
P03427,Q9UNK9,pb2_i33a0,ange1_human,PB2,ANGEL1,i33a0,human,association;,1,0
Q2PJP0,P78352,q2pjp0_9infa,dlg4_human,NS1,DLG4,h5n1)-1,human,physical association;,1,0
P06429,P40306,ve7_hpv33,psb10_human,E7,PSMB10,hpv33,human,physical association;,1,1
Q8JPQ9,P49327,nss_bunl8,fas_human,N,FASN,bunl8,human,association;,1,0
P03206,Q5JY77,bzlf1_ebvb9,gasp1_human,Zebra,GPRASP1,ebvb9,human,physical association;,1,2
P06422,Q9Y570,ve2_hpv08,ppme1_human,E2,PPME1,hpv08,human,physical association;,1,1
Q90VU7,Q14155,q90vu7_9hiv1,arhg7_human,nef,ARHGEF7,9hiv1,human,physical association;,1,0
C5E519,P55084,c5e519_9infa,echb_human,M2,HADHB,A/New York/1682/2009(H1N1),human,association;,1,0
P06790,P11021,ve2_hpv18,bip_human,E2,HSPA5,hpv18,human,physical association;,1,0
P06461,Q3ZCQ8,P06461,tim50_human,P06461,TIMM50,hpv6b,human,association;,1,1
Q9WMX2,Q9BWF3,Q9WMX2,rbm4_human,Q9WMX2,RBM4,hcvco,human,physical association;,1,2
P03427,A6NK53,pb2_i33a0,zn233_human,PB2,ZNF233,i33a0,human,association;,1,0
P0DTD1,Q9UNQ2,p0dtd1-pro_0000449632,dim1_human,rep,DIMT1,SARS-CoV-2,human,association;,2,0
Q6DP94,P01857,q6dp94_9infa,ighg1_human,NS,IGHG1,h5n1)-2,human,physical association;,1,0
P03428,P40938,pb2_i34a1,rfc3_human,PB2,RFC3,i34a1,human,association;,1,0
Q77UU1,Q9P086,q77uu1_9papi,med11_human,E2,MED11,human papillomavirus type 6,human,physical association;,1,0
Q9WRJ7,Q9NP64,q9wrj7_hhv8,no40_human,KIE-1,ZCCHC17,hhv8,human,association;,1,0
Q5ERI7,Q13232,Q5ERI7,ndk3_human,Q5ERI7,NME3,wnv,human,physical association;,1,0
Q77M19,P04844,q77m19_measw,rpn2_human,P,RPN2,measw,human,association;,2,0
Q09472,P03129,ep300_human,ve7_hpv16,EP300,E7,human,hpv16,direct interaction;physical association;,5,4
Q6DP94,Q5SXM2,q6dp94_9infa,snpc4_human,NS,SNAPC4,h5n1)-2,human,physical association;,1,0
P69901,P10620,P69901,mgst1_human,P69901,MGST1,hpv11,human,association;,1,0
Q7Z3K3,P03206,pogz_human,bzlf1_ebvb9,POGZ,Zebra,human,ebvb9,physical association;,1,0
P05412,P03129,jun_human,ve7_hpv16,JUN,E7,human,hpv16,direct interaction;physical association;,2,0
Q49A26,P03496,glyr1_human,ns1_i34a1,GLYR1,NS,human,i34a1,physical association;,1,0
Q20MH4,Q49A26,q20mh4_i33a0,glyr1_human,NS2,GLYR1,i33a0,human,physical association;,1,0
P06792,O14828,ve5_hpv18,scam3_human,E5,SCAMP3,hpv18,human,association;,1,1
P23497,P03169,sp100_human,vie1_hcmvt,SP100,UL123,human,hcmvt,physical association;,2,0
Q0A2H0,Q14160,ns1_i59a0,scrib_human,NS,SCRIB,strain a/chicken/scotland/1959 h5n1,human,physical association;,1,1
P03466,Q9Y3D3,ncap_i34a1,rt16_human,NP,MRPS16,i34a1,human,association;,1,0
P0C1C6,P52630,w_hendh,stat2_human,P/V/C,STAT2,hendh,human,association;,1,0
P0CK49,P01023,teg7_ebvb9,a2mg_human,teg7_ebvb9,A2M,ebvb9,human,association;,1,0
P04487,Q16777,rnb_hhv11,h2a2c_human,US11,H2AC20,hhv11,human,association;,1,0
P13285,Q99436,lmp2_ebvb9,psb7_human,LMP2,PSMB7,ebvb9,human,association;,1,0
P03428,O00629,pb2_i34a1,ima3_human,PB2,KPNA4,i34a1,human,association;,3,0
B4URF7,Q9C0D2,b4urf7_i33a0,ce295_human,PB2,CEP295,i33a0,human,association;,1,0
P06460,Q6PIU2,P06460,nceh1_human,P06460,NCEH1,hpv6b,human,association;,1,1
P0C739,P98194,bnl2a_ebvb9,at2c1_human,bnl2a_ebvb9,ATP2C1,ebvb9,human,association;,1,0
P0DTC5,P13804,vme1_sars2,etfa_human,vme1_sars2,ETFA,SARS-CoV-2,human,association;,1,0
P0CK58,O60716,balf1_ebvb9,ctnd1_human,balf1_ebvb9,CTNND1,ebvb9,human,association;,1,0
Q0A2H0,Q49A26,ns1_i59a0,glyr1_human,NS,GLYR1,strain a/chicken/scotland/1959 h5n1,human,physical association;,1,0
P30119,Q96EY1,btrf1_ebvb9,dnja3_human,btrf1_ebvb9,DNAJA3,ebvb9,human,association;,1,0
P27958,P14174,P27958,mif_human,P27958,MIF,hcvh,human,association;,1,0
C5E519,Q9NR50,c5e519_9infa,ei2bg_human,M2,EIF2B3,A/New York/1682/2009(H1N1),human,association;,1,0
P29882,Q8TAP6,cep1_ebvb9,cep76_human,cep1_ebvb9,CEP76,ebvb9,human,physical association;,1,0
C5E527,Q3KQU3,c5e527_9infa,ma7d1_human,PB2,MAP7D1,A/New York/1682/2009(H1N1),human,association;,2,0
Q96ME1,P06429,fxl18_human,ve7_hpv33,FBXL18,E7,human,hpv33,physical association;,1,0
P0DTD8,O60762,ns7b_sars2,dpm1_human,ns7b_sars2,DPM1,SARS-CoV-2,human,association;,1,0
P06423,Q13263,ve2_hpv33,tif1b_human,E2,TRIM28,hpv33,human,physical association;,1,1
Q194T2,Q86UA1,q194t2_9infa,prp39_human,NS1,PRPF39,influenza a virus (a/wsn/1933(h1n1)),human,association;,2,0
P08669,P11279,glyc_lassj,lamp1_human,GPC,LAMP1,lasv,human,physical association;direct interaction;,4,0
Q77M19,P40763,q77m19_measw,stat3_human,P,STAT3,measw,human,association;,2,0
C5E527,P13674,c5e527_9infa,p4ha1_human,PB2,P4HA1,A/New York/1682/2009(H1N1),human,association;,4,0
I6T1Z2,Q7Z4H7,i6t1z2_i68a0,haus6_human,NS1,HAUS6,i68a0,human,association;,1,0
P0C739,Q9NZM1,bnl2a_ebvb9,myof_human,bnl2a_ebvb9,MYOF,ebvb9,human,association;,1,0
P04487,Q969Q0,rnb_hhv11,rl36l_human,US11,RPL36AL,hhv11,human,association;,1,0
P06792,Q9NVV0,ve5_hpv18,tm38b_human,E5,TMEM38B,hpv18,human,association;,1,1
P03197,O96006,blrf2_ebvb9,zbed1_human,blrf2_ebvb9,ZBED1,ebvb9,human,physical association;,1,0
P03346,Q8N448,gag_htlv2,lnx2_human,gag,LNX2,htlv-2,human,physical association;,2,2
P21605,Q3ZCM7,e3_vaccw,tbb8_human,p25,TUBB8,vaccw,human,association;,1,0
P36791,O94986,ve2_hpv32,ce152_human,E2,CEP152,hpv32,human,physical association;,1,0
Q77M19,Q5H9R7,q77m19_measw,pp6r3_human,P,PPP6R3,measw,human,association;,1,0
Q2MG95,O60762,q2mg95_ebvb9,dpm1_human,BVLF1,DPM1,ebvb9,human,association;,1,0
I6T1Z2,Q99615,i6t1z2_i68a0,dnjc7_human,NS1,DNAJC7,i68a0,human,association;,1,0
P0DTC8,O00469,P0DTC8,plod2_human,P0DTC8,PLOD2,SARS-CoV-2,human,association;,1,0
P03496,P08865,ns1_i34a1,rssa_human,NS,RPSA,i34a1,human,association;,1,0
P0CK49,P05023,teg7_ebvb9,at1a1_human,teg7_ebvb9,ATP1A1,ebvb9,human,association;,1,0
P0CK58,P16070,balf1_ebvb9,cd44_human,balf1_ebvb9,CD44,ebvb9,human,association;,1,0
P69713,Q00987,x_hbva3,mdm2_human,X,MDM2,hbv-a,human,physical association;,1,0
P06792,Q8N6M3,ve5_hpv18,fitm2_human,E5,FITM2,hpv18,human,association;,1,0
P0DTC5,O14818,vme1_sars2,psa7_human,vme1_sars2,PSMA7,SARS-CoV-2,human,association;,1,0
Q0A2H0,P27986,ns1_i59a0,p85a_human,NS,PIK3R1,strain a/chicken/scotland/1959 h5n1,human,physical association;,1,1
P04487,P35268,rnb_hhv11,rl22_human,US11,RPL22,hhv11,human,association;,1,0
P27958,Q6ZT98,P27958,ttll7_human,P27958,TTLL7,hcvh,human,association;,1,0
P06460,Q03519,P06460,tap2_human,P06460,TAP2,hpv6b,human,association;,1,1
O14818,Q1K9H5,psa7_human,q1k9h5_i33a0,PSMA7,PB1,human,i33a0,physical association;,1,2
O15111,P50778,ikka_human,ve7_hpv20,CHUK,E7,human,hpv20,physical association;,1,0
P0DTC8,Q99988,P0DTC8,gdf15_human,P0DTC8,GDF15,SARS-CoV-2,human,association;,1,0
Q9WMX2,P60900,Q9WMX2,psa6_human,Q9WMX2,PSMA6,hcvco,human,physical association;,1,2
A0A142I5B9,Q5JY77,A0A142I5B9,gasp1_human,A0A142I5B9,GPRASP1,ZIKVK,human,association;,1,0
P0C739,Q15629,bnl2a_ebvb9,tram1_human,bnl2a_ebvb9,TRAM1,ebvb9,human,association;,1,0
P69901,Q9HDC9,P69901,apmap_human,P69901,APMAP,hpv11,human,association;,1,0
C5E519,O15269,c5e519_9infa,sptc1_human,M2,SPTLC1,A/New York/1682/2009(H1N1),human,association;,1,0
Q8AZK7,Q01105,ebna5_ebvb9,set_human,EBNA-LP,SET,ebvb9,human,association;,1,1
P29991,Q99614,P29991,ttc1_human,P29991,TTC1,den27,human,physical association;,1,0
Q99IB8,Q13200,Q99IB8,psmd2_human,Q99IB8,PSMD2,hcvjf,human,association;,1,1
O36551,P19404,o36551_hhv8,nduv2_human,K8.1,NDUFV2,hhv8,human,association;,1,0
P03508,O94927,nep_i34a1,haus5_human,NS,HAUS5,i34a1,human,association;,2,0
P29991,Q0VF96,P29991,cgnl1_human,P29991,CGNL1,den27,human,physical association;,1,0
P21605,Q9BYE4,e3_vaccw,spr2g_human,p25,SPRR2G,vaccw,human,association;,1,0
P27958,Q8IXJ9,P27958,asxl1_human,P27958,ASXL1,hcvh,human,association;,1,0
P03366,P22830,pol_hv1b1,hemh_human,gag-pol,FECH,hv1b1,human,association;,1,0
P06460,Q15165,P06460,pon2_human,P06460,PON2,hpv6b,human,association;,1,1
Q8AZK7,Q63ZY3,ebna5_ebvb9,kank2_human,EBNA-LP,KANK2,ebvb9,human,association;,1,0
C5E527,P53007,c5e527_9infa,txtp_human,PB2,SLC25A1,A/New York/1682/2009(H1N1),human,association;,2,0
P0DTD1,Q14181,p0dtd1-pro_0000449619,dpoa2_human,rep,POLA2,SARS-CoV-2,human,association;,1,0
Q92769,Q2HR82,hdac2_human,kbzip_hhv8p,HDAC2,K8,human,hhv8p,association;colocalization;physical association;,3,0
P61769,P59637,b2mg_human,vemp_cvhsa,B2M,E,human,sars-cov,physical association;,1,0
A0A142I5B9,P27635,A0A142I5B9,rl10_human,A0A142I5B9,RPL10,ZIKVK,human,association;,1,0
I6T1Z2,Q9NX07,i6t1z2_i68a0,tsap1_human,NS1,TRNAU1AP,i68a0,human,association;,4,0
P03508,O43303,nep_i34a1,cp110_human,NS,CCP110,i34a1,human,physical association;,1,0
Q9H307,P16749,pinin_human,icp27_hcmva,PNN,icp27_hcmva,human,hcmva,direct interaction;,1,0
P04015,Q9Y570,ve2_hpv11,ppme1_human,E2,PPME1,hpv11,human,physical association;,1,1
I6TAH8,Q1KMD3,i6tah8_i68a0,hnrl2_human,NP,HNRNPUL2,i68a0,human,association;,2,0
P03165,P27348,x_hbvd3,1433t_human,X,YWHAQ,hbvd3,human,physical association;,1,0
A0A142I5B9,Q9H269,A0A142I5B9,vps16_human,A0A142I5B9,VPS16,ZIKVK,human,association;,1,0
P36791,P02751,ve2_hpv32,finc_human,E2,FN1,hpv32,human,physical association;,1,0
P06790,Q9Y244,ve2_hpv18,pomp_human,E2,POMP,hpv18,human,physical association;,1,0
P0DTD1,P13797,p0dtd1-pro_0000449631,plst_human,rep,PLS3,SARS-CoV-2,human,association;,1,0
Q2PJP0,P06733,q2pjp0_9infa,enoa_human,NS1,ENO1,h5n1)-1,human,physical association;,1,0
C5E524,O60293,c5e524_9infa,zc3h1_human,NS1,ZFC3H1,A/New York/1682/2009(H1N1),human,association;,4,0
P0CK58,Q13586,balf1_ebvb9,stim1_human,balf1_ebvb9,STIM1,ebvb9,human,association;,1,0
P03211,Q8IYX8,ebna1_ebvb9,ce57l_human,EBNA1,CEP57L1,ebvb9,human,physical association;,1,0
P03428,P42285,pb2_i34a1,mtrex_human,PB2,MTREX,i34a1,human,association;,3,0
P06790,Q8IWI9,ve2_hpv18,mgap_human,E2,MGA,hpv18,human,physical association;,2,0
P0CK58,Q9NQX7,balf1_ebvb9,itm2c_human,balf1_ebvb9,ITM2C,ebvb9,human,association;,1,0
P03246,Q14699,e1bs_ade05,rftn1_human,e1bs_ade05,RFTN1,ade05,human,association;,1,1
Q69117,P02794,q69117_ebvg,frih_human,BFRF1A,FTH1,ebvg,human,association;,1,0
D2XQB9,Q14517,d2xqb9_hhv8,fat1_human,ORF47,FAT1,hhv8,human,association;,1,0
P26045,P06463,ptn3_human,ve6_hpv18,PTPN3,E6,human,hpv18,physical association;,1,0
A8E1C4,O94776,ltp_muhvk,mta2_human,M48,MTA2,muhvk,human,association;,1,0
P03431,Q99081,rdrp_i34a1,htf4_human,PB1,TCF12,i34a1,human,physical association;,1,0
P06461,Q16891,P06461,mic60_human,P06461,IMMT,hpv6b,human,association;,1,1
P19712,P36578,P19712,rl4_human,P19712,RPL4,CSFV,human,association;,1,1
P36780,P22314,ve2_hpv09,uba1_human,E2,UBA1,Human papillomavirus type 9,human,physical association;,1,1
Q0HD54,P46779,ns1_i40a0,rl28_human,NS,RPL28,i40a0,human,association;,1,0
P69901,O00391,P69901,qsox1_human,P69901,QSOX1,hpv11,human,association;,1,0
B4URF7,Q5H9R7,b4urf7_i33a0,pp6r3_human,PB2,PPP6R3,i33a0,human,association;,4,0
Q2MG96,Q9Y230,q2mg96_ebvb9,ruvb2_human,BGLF3.5,RUVBL2,ebvb9,human,association;,1,0
Q9WMX2,P42356,Q9WMX2,pi4ka_human,Q9WMX2,PI4KA,hcvco,human,physical association;,1,0
O41957,Q9UJY4,o41957_mhv68,gga2_human,40,GGA2,mhv68,human,physical association;,1,0
P19712,P26640,P19712,syvc_human,P19712,VARS1,CSFV,human,association;,1,1
P04019,Q16611,ve6_hpv11,bak_human,E6,BAK1,hpv11,human,direct interaction;,1,0
P03118,Q9UM11,ve2_hpv1,fzr1_human,E2,FZR1,hpv1a,human,physical association;,1,0
P0C1C6,P0CG04,w_hendh,iglc1_human,P/V/C,IGLC1,hendh,human,association;,1,0
Q9WMX2,Q7L9L4,Q9WMX2,mob1b_human,Q9WMX2,MOB1B,hcvco,human,association;,1,1
P12418,P07437,mu2_reovd,tbb5_human,M1,TUBB,reovd,human,association;,1,0
P03363,Q13064,pol_htlv2,mkrn3_human,pol_htlv2,MKRN3,htlv-2,human,physical association;,2,2
P0CK58,P08133,balf1_ebvb9,anxa6_human,balf1_ebvb9,ANXA6,ebvb9,human,association;,1,0
P69901,P17813,P69901,egln_human,P69901,ENG,hpv11,human,association;,1,0
Q2MG95,Q01813,q2mg95_ebvb9,pfkap_human,BVLF1,PFKP,ebvb9,human,association;,1,0
Q77M19,Q92947,q77m19_measw,gcdh_human,P,GCDH,measw,human,association;,1,0
Q0HD54,P62913,ns1_i40a0,rl11_human,NS,RPL11,i40a0,human,association;,1,0
P27958,Q8IWP9,P27958,cc28a_human,P27958,CCDC28A,hcvh,human,association;,1,0
A0A663DJA2,Q3KQU3,a0a663dja2_sars2,ma7d1_human,ORF10,MAP7D1,SARS-CoV-2,human,association;,1,0
Q1K9H2,O95793,q1k9h2_i33a0,stau1_human,NP,STAU1,i33a0,human,association;,1,0
P27824,Q9WMX2,calx_human,Q9WMX2,CANX,Q9WMX2,human,hcvco,colocalization;,1,0
P27958,Q96PT4,P27958,dux3_human,P27958,DUX3,hcvh,human,association;,1,0
Q67020,P24928,q67020_9infa,rpb1_human,PA,POLR2A,influenza a virus (a/wsn/1933(h1n1)),human,physical association;,2,0
Q07812,P26662,bax_human,P26662,BAX,P26662,human,hcvja,physical association;,1,0
Q20MH8,Q9Y4W2,q20mh8_i33a0,las1l_human,M2,LAS1L,i33a0,human,association;,2,0
P0DTC8,Q13443,P0DTC8,adam9_human,P0DTC8,ADAM9,SARS-CoV-2,human,association;,1,0
O56264,Q12906,ns1_i97a1,ilf3_human,NS,ILF3,i97a1,human,association;,1,0
Q77UU1,Q07955,q77uu1_9papi,srsf1_human,E2,SRSF1,human papillomavirus type 6,human,physical association;,1,0
P13285,Q06323,lmp2_ebvb9,psme1_human,LMP2,PSME1,ebvb9,human,association;,1,0
P03211,P78362,ebna1_ebvb9,srpk2_human,EBNA1,SRPK2,ebvb9,human,association;physical association;,2,0
P0DTD1,O95613,p0dtd1-pro_0000449630,pcnt_human,rep,PCNT,SARS-CoV-2,human,association;,1,0
P03428,Q6ZRV2,pb2_i34a1,fa83h_human,PB2,FAM83H,i34a1,human,association;,4,0
P14335,O14641,P14335,dvl2_human,P14335,DVL2,strain mrm61c,human,physical association;,1,0
P06790,Q07817,ve2_hpv18,b2cl1_human,E2,BCL2L1,hpv18,human,physical association;,1,0
Q77M19,P50502,q77m19_measw,f10a1_human,P,ST13,measw,human,association;,1,0
P12792,Q05639,nss_sfsv,ef1a2_human,NSS,EEF1A2,sfsv,human,association;,1,0
Q2PRM9,Q8IY18,Q2PRM9,smc5_human,Q2PRM9,SMC5,povbk,human,association;,1,0
P0CK58,Q8IY17,balf1_ebvb9,plpl6_human,balf1_ebvb9,PNPLA6,ebvb9,human,association;,1,0
P03466,Q9NWU5,ncap_i34a1,rm22_human,NP,MRPL22,i34a1,human,association;,3,0
P03496,P62136,ns1_i34a1,pp1a_human,NS,PPP1CA,i34a1,human,association;,1,0
P10193,P09884,obp_hhv11,dpola_human,OriBP,POLA1,hhv11,human,physical association;,4,0
Q99IB8,P04196,Q99IB8,hrg_human,Q99IB8,HRG,hcvjf,human,physical association;,1,0
P0DOE9,O00743,ns1_hrsva,ppp6_human,1C,PPP6C,hrsva,human,association;,1,0
I6T1Z2,Q9NZB2,i6t1z2_i68a0,f120a_human,NS1,FAM120A,i68a0,human,association;,2,0
P04413,Q9BUJ2,us03_hhv11,hnrl1_human,US3,HNRNPUL1,hhv11,human,association;,2,0
P0CG48,P08393,ubc_human,icp0_hhv11,UBC,ICP0,human,hhv11,association;,1,0
P0DTD1,P00338,p0dtd1-pro_0000449626,ldha_human,rep,LDHA,SARS-CoV-2,human,association;,2,0
P03261,Q969R5,dpol_ade02,lmbl2_human,POL,L3MBTL2,ade02,human,physical association;,1,0
P03211,Q8IYB3,ebna1_ebvb9,srrm1_human,EBNA1,SRRM1,ebvb9,human,association;,1,0
Q8N448,P06821,lnx2_human,m2_i34a1,LNX2,M,human,i34a1,physical association;,1,0
Q6PI77,Q2PJP0,bhlh9_human,q2pjp0_9infa,BHLHB9,NS1,human,h5n1)-1,physical association;,1,1
P06460,Q99500,P06460,s1pr3_human,P06460,S1PR3,hpv6b,human,association;,1,1
O56264,P62807,ns1_i97a1,h2b1c_human,NS,H2BC8,i97a1,human,association;,1,0
O95236,P03225,apol3_human,bdlf2_ebvb9,APOL3,bdlf2_ebvb9,human,ebvb9,physical association;,1,0
P06790,Q96QF0,ve2_hpv18,rab3i_human,E2,RAB3IP,hpv18,human,physical association;,1,0
