"","mProtein","Motif","Domain","dProtein"
"52","P46937","LIG_PDZ_Class_1","PF00595","O14745"
"53","P46937","LIG_PDZ_Class_1","PF00595","Q14160"
"54","P46937","LIG_PDZ_Class_1","PF00595","Q15599"
"55","P46937","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"56","P47900","LIG_PDZ_Class_1","PF00595","O14745"
"57","P49427","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"58","P53778","LIG_PDZ_Class_1","PF00595","Q14160"
"59","P78424","TRG_NLS_MonoCore_2","PF00514","O60684"
"60","P78424","TRG_NLS_MonoExtC_3","PF00514","O60684"
"61","P78424","TRG_NLS_MonoExtN_4","PF00514","O60684"
"62","P84098","MOD_CK2_1","PF00069","Q5S007"
"63","Q00987","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"64","Q01814","LIG_PDZ_Class_1","PF00595","Q14160"
"65","Q05066","LIG_PDZ_Class_1","PF00595","Q15599"
"66","Q12959","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"67","Q13127","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"68","Q13641","LIG_PDZ_Class_1","PF00595","O14908"
"69","Q13651","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"70","Q14566","MOD_CK2_1","PF00069","Q5S007"
"71","Q14957","LIG_PDZ_Class_1","PF00595","Q12959"
"72","Q14CM0","LIG_PDZ_Class_1","PF00595","Q14160"
"73","Q14D04","LIG_PDZ_Class_1","PF00595","Q14160"
"74","Q15139","LIG_PDZ_Class_1","PF00595","Q15599"
"75","Q15311","LIG_PDZ_Class_1","PF00595","Q14160"
"76","Q15349","LIG_PDZ_Class_1","PF00595","Q14160"
"77","Q15418","LIG_PDZ_Class_1","PF00595","Q14160"
"78","Q15637","TRG_NLS_MonoCore_2","PF00514","O60684"
"79","Q15637","TRG_NLS_MonoExtC_3","PF00514","O60684"
"80","Q15637","TRG_NLS_MonoExtN_4","PF00514","O60684"
"81","Q16236","DEG_Kelch_Keap1_1","PF01344","Q14145"
"82","Q16594","TRG_NLS_MonoExtN_4","PF00514","O60684"
"83","Q16594","TRG_NLS_MonoExtC_3","PF00514","O60684"
"84","Q16594","TRG_NLS_MonoCore_2","PF00514","O60684"
"85","Q16621","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"86","Q17R89","LIG_PDZ_Class_1","PF00595","Q15599"
"87","Q3KP66","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"88","Q5D1E8","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"89","Q5HYW2","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"90","Q5JTC6","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"91","Q5S007","LIG_ULM_U2AF65_1","PF00076","Q9NZI8"
"92","Q5T6F2","TRG_ER_diArg_1","PF00400","Q9BUR4"
"93","Q5VV41","LIG_PDZ_Class_1","PF00595","Q12959"
"94","Q5VV41","LIG_PDZ_Class_1","PF00595","Q14160"
"95","Q6P1L5","DEG_Kelch_Keap1_1","PF01344","Q14145"
"96","Q6P6B1","DEG_Kelch_Keap1_1","PF01344","Q14145"
"97","Q6ZVD8","LIG_PDZ_Class_1","PF00595","O14745"
"98","Q7Z628","LIG_PDZ_Class_1","PF00595","Q12959"
"99","Q86XJ0","LIG_PDZ_Class_1","PF00595","Q12959"
"100","Q86YC2","DEG_Kelch_Keap1_1","PF01344","Q14145"
"101","Q86YD7","TRG_NLS_MonoExtC_3","PF00514","O60684"
"102","Q8TDV0","DEG_Kelch_Keap1_1","PF01344","Q14145"
"103","Q92688","TRG_NLS_MonoExtN_4","PF00514","O60684"
"104","Q92688","TRG_NLS_MonoCore_2","PF00514","O60684"
"105","Q92688","TRG_NLS_MonoExtC_3","PF00514","O60684"
"106","Q92993","TRG_NLS_MonoExtN_4","PF00514","O60684"
"107","Q92993","TRG_NLS_MonoExtC_3","PF00514","O60684"
"108","Q93074","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"109","Q96C86","TRG_NLS_MonoExtC_3","PF00514","O60684"
"110","Q96C86","TRG_NLS_MonoExtN_4","PF00514","O60684"
"111","Q96C86","TRG_NLS_MonoCore_2","PF00514","O60684"
"112","Q96C86","TRG_NLS_MonoExtC_3","PF00514","P52292"
"113","Q96C86","TRG_NLS_MonoCore_2","PF00514","P52292"
"114","Q96C86","TRG_NLS_MonoExtN_4","PF00514","P52292"
"115","Q96GG9","LIG_PDZ_Class_1","PF00595","Q14160"
"116","Q96KB5","LIG_PDZ_Class_1","PF00595","Q12959"
"117","Q96PE1","LIG_PDZ_Class_1","PF00595","Q12959"
"118","Q99569","LIG_PDZ_Class_1","PF00595","Q14160"
"119","Q99832","TRG_ER_diArg_1","PF00400","Q9BUR4"
"120","Q9BUI4","TRG_NLS_MonoExtC_3","PF00514","O60684"
"121","Q9BUI4","TRG_NLS_MonoExtN_4","PF00514","O60684"
"122","Q9BWT7","DEG_Kelch_Keap1_1","PF01344","Q14145"
"123","Q9BXI6","LIG_PDZ_Class_1","PF00595","O14745"
"124","Q9C026","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"125","Q9C0D5","LIG_PDZ_Class_1","PF00595","Q12959"
"126","Q9GZV5","LIG_PDZ_Class_1","PF00595","Q14160"
"127","Q9HAN9","TRG_NLS_MonoExtC_3","PF00514","O60684"
"128","Q9HAN9","TRG_NLS_MonoExtN_4","PF00514","O60684"
"129","Q9HB19","LIG_PDZ_Class_1","PF00595","O14908"
"130","Q9HBW0","LIG_PDZ_Class_1","PF00595","Q15599"
"131","Q9NQ86","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"132","Q9NQ90","LIG_PDZ_Class_1","PF00595","Q12959"
"133","Q9NQX3","LIG_Dynein_DLC8_1","PF01221","P63167"
"134","Q9NS75","LIG_PDZ_Class_1","PF00595","Q14160"
"135","Q9NTX7","LIG_PDZ_Class_1","PF00595","Q12959"
"136","Q9NVC6","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"137","Q9NWQ8","LIG_PDZ_Class_1","PF00595","O14745"
"138","Q9NY33","DEG_Kelch_Keap1_1","PF01344","Q14145"
"139","Q9P0K1","LIG_PDZ_Class_1","PF00595","Q14160"
"140","Q9P202","DEG_Kelch_Keap1_1","PF01344","Q14145"
"141","Q9UDY2","LIG_PDZ_Class_1","PF00595","Q14160"
"142","Q9ULK5","LIG_PDZ_Class_1","PF00595","Q12959"
"143","Q9UQB3","LIG_PDZ_Class_1","PF00595","Q12959"
"144","Q9UQB3","LIG_PDZ_Class_1","PF00595","Q14160"
"145","Q9Y2T1","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"146","Q9Y3C7","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"147","Q9Y3Q8","DEG_Kelch_Keap1_1","PF01344","Q14145"
"148","X5D778","TRG_NLS_MonoExtN_4","PF00514","O60684"
