Elm,Domain,interactorElm,interactorDomain,StartElm,StopElm,StartDomain,StopDomain,AffinityMin,AffinityMax,PMID,taxonomyElm,taxonomyDomain
LIG_CaM_IQ_9,PF13499,Q9WTI7,P62149,758,777,8,73,None,None,17910470,10090(Mus musculus),9031(Gallus gallus)
LIG_CaM_IQ_9,PF13499,Q9WTU3,P62157,1894,1913,85,146,None,None,12967988,10090(Mus musculus),9913(Bos taurus)
LIG_CaM_IQ_9,PF13499,Q9WTU3,P62157,1894,1913,8,73,None,None,12967988,10090(Mus musculus),9913(Bos taurus)
LIG_CaM_IQ_9,PF13499,P15390,P62157,1721,1740,85,146,None,None,12967988,10116(Rattus norvegicus),9913(Bos taurus)
LIG_CaM_IQ_9,PF13499,P15390,P62157,1721,1740,8,73,None,None,12967988,10116(Rattus norvegicus),9913(Bos taurus)
LIG_CaM_IQ_9,PF00036,P22467,P02599,746,765,87,115,0.0006,0.0042,21671662,44689(Dictyostelium discoideum),44689(Dictyostelium discoideum)
LIG_CaM_IQ_9,PF00036,P22467,P02599,746,765,123,150,0.0006,0.0042,21671662,44689(Dictyostelium discoideum),44689(Dictyostelium discoideum)
LIG_CaM_IQ_9,PF13499,P22467,P02599,746,765,11,75,0.0006,0.0042,21671662,44689(Dictyostelium discoideum),44689(Dictyostelium discoideum)
LIG_CaM_IQ_9,PF00036,Q03479,P02599,697,715,87,115,0.00245,0.00485,21671662,44689(Dictyostelium discoideum),44689(Dictyostelium discoideum)
LIG_CaM_IQ_9,PF00036,Q03479,P02599,697,715,123,150,0.00245,0.00485,21671662,44689(Dictyostelium discoideum),44689(Dictyostelium discoideum)
LIG_CaM_IQ_9,PF13499,Q03479,P02599,697,715,11,75,0.00245,0.00485,21671662,44689(Dictyostelium discoideum),44689(Dictyostelium discoideum)
LIG_CaM_IQ_9,PF00036,Q03479,P02599,719,738,87,115,0.00347,0.00507,21671662,44689(Dictyostelium discoideum),44689(Dictyostelium discoideum)
LIG_CaM_IQ_9,PF00036,Q03479,P02599,719,738,123,150,0.00347,0.00507,21671662,44689(Dictyostelium discoideum),44689(Dictyostelium discoideum)
LIG_CaM_IQ_9,PF13499,Q03479,P02599,719,738,11,75,0.00347,0.00507,21671662,44689(Dictyostelium discoideum),44689(Dictyostelium discoideum)
LIG_CaM_IQ_9,PF13499,Q9HD67,P62158,766,785,85,146,0.0008,0.0014,20731332,9606(Homo sapiens),9606(Homo sapiens)
LIG_CaM_IQ_9,PF13499,Q9HD67,P62158,766,785,8,73,0.0008,0.0014,20731332,9606(Homo sapiens),9606(Homo sapiens)
LIG_CaM_IQ_9,PF13499,Q9HD67,P62158,789,808,85,146,0.00125,0.0063,20731332,9606(Homo sapiens),9606(Homo sapiens)
LIG_CaM_IQ_9,PF13499,Q9HD67,P62158,789,808,8,73,0.00125,0.0063,20731332,9606(Homo sapiens),9606(Homo sapiens)
LIG_CaM_IQ_9,PF13499,P40146,P62161,1191,1209,85,146,None,None,19305019,10116(Rattus norvegicus),10116(Rattus norvegicus)
LIG_CaM_IQ_9,PF13499,P40146,P62161,1191,1209,8,73,None,None,19305019,10116(Rattus norvegicus),10116(Rattus norvegicus)
LIG_CaM_IQ_9,PF13499,Q39575,A8HNF8,869,887,21,83,None,None,17634291,3055(Chlamydomonas reinhardtii),3055(Chlamydomonas reinhardtii)
LIG_CaM_IQ_9,PF13499,Q39575,A8HNF8,1157,1175,21,83,None,None,17634291,3055(Chlamydomonas reinhardtii),3055(Chlamydomonas reinhardtii)
LIG_CaM_IQ_9,PF13499,P10676,P62152,1037,1056,85,146,None,None,7556088,7227(Drosophila melanogaster),7227(Drosophila melanogaster)
LIG_CaM_IQ_9,PF13499,P10676,P62152,1037,1056,8,73,None,None,7556088,7227(Drosophila melanogaster),7227(Drosophila melanogaster)
LIG_CaM_IQ_9,PF13499,P10676,P62152,1073,1091,85,146,None,None,7556088,7227(Drosophila melanogaster),7227(Drosophila melanogaster)
LIG_CaM_IQ_9,PF13499,P10676,P62152,1073,1091,8,73,None,None,7556088,7227(Drosophila melanogaster),7227(Drosophila melanogaster)
LIG_CaM_IQ_9,PF13499,O14830,P62204,20,38,85,146,None,None,"1,175,484,012,051,760",9606(Homo sapiens),10090(Mus musculus)
LIG_CaM_IQ_9,PF13499,O14830,P62204,20,38,8,73,None,None,"1,175,484,012,051,760",9606(Homo sapiens),10090(Mus musculus)
LIG_CaM_IQ_9,PF13499,P06836,P62157,32,51,85,146,None,None,1824693,9913(Bos taurus),9913(Bos taurus)
LIG_CaM_IQ_9,PF13499,P06836,P62157,32,51,8,73,None,None,1824693,9913(Bos taurus),9913(Bos taurus)
LIG_CaM_IQ_9,PF13499,Q2WEL1,Q0JNS6,758,777,85,146,None,None,16192280,4530(Oryza sativa),39947(Oryza sativa Japonica Group)
LIG_CaM_IQ_9,PF13499,Q2WEL1,Q0JNS6,758,777,9,73,None,None,16192280,4530(Oryza sativa),39947(Oryza sativa Japonica Group)
LIG_CaM_IQ_9,PF13499,Q13698,P62158,1523,1542,85,146,0.0068,0.009,19473981,9606(Homo sapiens),9606(Homo sapiens)
LIG_CaM_IQ_9,PF13499,Q13698,P62158,1523,1542,8,73,0.0068,0.009,19473981,9606(Homo sapiens),9606(Homo sapiens)
LIG_PDZ_Class_1,PF00595,P46937,O14745,499,504,None,None,None,None,10562288,9606(Homo sapiens),9606(Homo sapiens)
DOC_PP1_RVXF_1,PF00149,O35867,P62138,455,461,57,252,None,None,"1,058,546,910,504,260",10116(Rattus norvegicus),10116(Rattus norvegicus)
LIG_WW_1,PF00397,O15350,P46937,484,487,None,None,None,None,"1,127,868,515,678,100",9606(Homo sapiens),9606(Homo sapiens)
LIG_WW_1,PF00397,O15350,Q96J02,484,487,None,None,None,None,"1,127,868,515,678,100",9606(Homo sapiens),9606(Homo sapiens)
LIG_WW_1,PF00397,O88898,P46937,540,543,None,None,None,None,11278685,10090(Mus musculus),9606(Homo sapiens)
LIG_PDZ_Class_1,PF00595,P46937-2,Q9UDY2,483,488,None,None,None,None,20868367,9606(Homo sapiens),9606(Homo sapiens)
DOC_USP7_MATH_1,PF00917,O15151,Q93009,8,12,57,197,None,None,20713061,9606(Homo sapiens),9606(Homo sapiens)
DOC_USP7_MATH_1,PF00917,O15151,Q93009,398,402,57,197,None,None,20713061,9606(Homo sapiens),9606(Homo sapiens)
DOC_USP7_MATH_1,PF00917,Q00987,Q93009,397,401,57,197,None,None,20713061,9606(Homo sapiens),9606(Homo sapiens)
LIG_FAT_LD_1,PF03623,P49023,Q14289,266,274,870,1008,None,None,"1,452,738,919,358,820",9606(Homo sapiens),9606(Homo sapiens)
LIG_FAT_LD_1,PF03623,P49023,Q00944,266,274,915,1053,None,None,"1,452,738,919,358,820",9606(Homo sapiens),9031(Gallus gallus)
LIG_FAT_LD_1,PF03623,P49024,Q00944,145,153,915,1053,None,None,11909967,9031(Gallus gallus),9031(Gallus gallus)
LIG_FAT_LD_1,PF03623,O43294,Q05397,158,166,914,1052,None,None,11463817,9606(Homo sapiens),9606(Homo sapiens)
LIG_Rb_pABgroove_1,PF01858,P03255,P06400,41,49,373,573,None,None,"153,485,417,974,914",28285(Human adenovirus 5),9606(Homo sapiens)
LIG_Rb_pABgroove_1,PF01857,P03255,P06400,41,49,645,766,None,None,"153,485,417,974,914",28285(Human adenovirus 5),9606(Homo sapiens)
LIG_Rb_pABgroove_1,PF01858,Q14209,P06400,420,428,373,573,None,None,12502741,9606(Homo sapiens),9606(Homo sapiens)
LIG_Rb_pABgroove_1,PF01857,Q14209,P06400,420,428,645,766,None,None,12502741,9606(Homo sapiens),9606(Homo sapiens)
LIG_Rb_pABgroove_1,PF01858,Q01094,P06400,419,427,373,573,None,None,"83,461,968,413,249",9606(Homo sapiens),9606(Homo sapiens)
LIG_Rb_pABgroove_1,PF01857,Q01094,P06400,419,427,645,766,None,None,"83,461,968,413,249",9606(Homo sapiens),9606(Homo sapiens)
LIG_GYF,PF02213,P06729,O95400,295,303,281,338,None,None,12426371,9606(Homo sapiens),9606(Homo sapiens)
LIG_SH3_2,PF07653,P50570,O00499,829,834,524,590,None,None,15483625,9606(Homo sapiens),9606(Homo sapiens)
LIG_SH2_SRC,PF00017,Q14118,P06241,892,895,149,231,None,None,11724572,9606(Homo sapiens),9606(Homo sapiens)
LIG_SH3_2,PF00018,Q13153,P16333,13,18,None,None,None,None,8798379,9606(Homo sapiens),9606(Homo sapiens)
DOC_AGCK_PIF_1,PF00069,P31749,O15530,469,474,82,341,None,None,"1,216,771,711,500,360",9606(Homo sapiens),9606(Homo sapiens)
DOC_AGCK_PIF_1,PF00069,Q13464,O15530,394,399,82,341,None,None,18204440,9606(Homo sapiens),9606(Homo sapiens)
DOC_AGCK_PIF_1,PF00069,P18654,O15530,382,387,82,341,None,None,10856237,10090(Mus musculus),9606(Homo sapiens)
DOC_AGCK_PIF_1,PF00069,P67999,O15530,408,413,82,341,None,None,11500365,10116(Rattus norvegicus),9606(Homo sapiens)
DOC_AGCK_PIF_1,PF00069,O00141,O15530,418,423,82,341,None,None,11500365,9606(Homo sapiens),9606(Homo sapiens)
DOC_AGCK_PIF_1,PF00069,Q96BR1,O15530,482,487,82,341,None,None,16790420,9606(Homo sapiens),9606(Homo sapiens)
DOC_AGCK_PIF_1,PF00069,Q9ERE3,O15530,482,487,82,341,None,None,14604990,10090(Mus musculus),9606(Homo sapiens)
DOC_AGCK_PIF_1,PF00069,P31751,P31751,470,475,152,409,None,None,12434148,9606(Homo sapiens),9606(Homo sapiens)
DOC_AGCK_PIF_1,PF00069,P11792,Q03407,733,738,125,391,None,None,21531713,559292(Saccharomyces cerevisiae S288c),559292(Saccharomyces cerevisiae S288c)
DOC_AGCK_PIF_2,PF00069,P41743,O15530,579,584,82,341,None,None,10764742,9606(Homo sapiens),9606(Homo sapiens)
DOC_AGCK_PIF_2,PF00069,Q05513,O15530,575,580,82,341,None,None,10764742,9606(Homo sapiens),9606(Homo sapiens)
DOC_AGCK_PIF_2,PF00069,Q02956,O15530,575,580,82,341,None,None,10764742,10090(Mus musculus),9606(Homo sapiens)
DOC_AGCK_PIF_2,PF00069,Q16512,O15530,932,937,82,341,None,None,10764742,9606(Homo sapiens),9606(Homo sapiens)
DOC_AGCK_PIF_2,PF00069,Q16513,O15530,974,979,82,341,None,None,"162,196,761,076,474,000,000,000",9606(Homo sapiens),9606(Homo sapiens)
DOC_AGCK_PIF_3,PF00069,P17612,O15530,348,351,82,341,None,None,10698939,9606(Homo sapiens),9606(Homo sapiens)
DOC_AGCK_PIF_3,PF00069,P05132,O15530,348,351,82,341,None,None,"1,237,283,715,299,520",10090(Mus musculus),9606(Homo sapiens)
DOC_AGCK_PIF_3,PF00069,P05132,P05132,348,351,44,298,None,None,"1,237,283,715,299,520",10090(Mus musculus),10090(Mus musculus)
DOC_AGCK_PIF_3,PF00069,P06244,Q03407,394,397,125,391,None,None,21531713,559292(Saccharomyces cerevisiae S288c),559292(Saccharomyces cerevisiae S288c)
DOC_AGCK_PIF_3,PF00069,Q5I6E9,Q5I6E8,697,700,48,315,None,None,16362044,4081(Solanum lycopersicum),4081(Solanum lycopersicum)
DOC_AGCK_PIF_3,PF00069,Q9LSF1,Q9XF67,418,421,44,311,None,None,14749726,3702(Arabidopsis thaliana),3702(Arabidopsis thaliana)
DEG_CRL4_CDT2_2,PF02747,Q27368,P17917,151,163,127,254,None,None,19081076,7227(Drosophila melanogaster),7227(Drosophila melanogaster)
MOD_GSK3_1,PF00069,P04637,P49841,30,37,56,340,None,None,11483158,9606(Homo sapiens),9606(Homo sapiens)
MOD_GSK3_1,PF00069,P54252,P49841,253,260,56,340,None,None,17434145,9606(Homo sapiens),9606(Homo sapiens)
LIG_EVH1_3,PF00568,O43516,O08816,454,466,28,135,None,None,"124,379,291,722,973,000,000,000",9606(Homo sapiens),10116(Rattus norvegicus)
LIG_EVH1_3,PF00568,Q8TF74,P42768,400,412,36,145,None,None,"1,221,321,015,265,690",9606(Homo sapiens),9606(Homo sapiens)
LIG_EVH1_3,PF00568,Q9Z0G8,Q95107,425,437,31,138,None,None,11553796,10116(Rattus norvegicus),9913(Bos taurus)
LIG_Actin_WH2_2,PF00022,Q6AWX6,P68135,757,774,4,377,None,None,"152,967,615,534,215",3702(Arabidopsis thaliana),9986(Oryctolagus cuniculus)
LIG_Actin_WH2_2,PF00022,Q5XPJ9,P68135,1336,1353,4,377,None,None,15534215,3702(Arabidopsis thaliana),9986(Oryctolagus cuniculus)
LIG_Actin_WH2_2,PF00022,Q9LP46,P68135,955,972,4,377,None,None,15534215,3702(Arabidopsis thaliana),9986(Oryctolagus cuniculus)
LIG_Actin_WH2_2,PF00022,Q5XPJ6,P68135,1106,1123,4,377,None,None,15534215,3702(Arabidopsis thaliana),9986(Oryctolagus cuniculus)
LIG_Actin_WH2_2,PF00022,P18281,P68135,2,18,4,377,None,None,1464307,5755(Acanthamoeba castellanii),9986(Oryctolagus cuniculus)
LIG_Actin_WH2_2,PF00022,O97428,P68135,53,71,4,377,None,None,"1,627,590,511,030,620",7227(Drosophila melanogaster),9986(Oryctolagus cuniculus)
LIG_Actin_WH2_2,PF00022,O97428,P68135,91,109,4,377,None,None,"1,627,590,511,030,620",7227(Drosophila melanogaster),9986(Oryctolagus cuniculus)
LIG_Actin_WH2_2,PF00022,O43312,P68135,728,744,4,377,0.23,0.23,"1,729,283,316,275,900",9606(Homo sapiens),9986(Oryctolagus cuniculus)
LIG_Actin_WH2_2,PF00022,P20065,P68135,9,27,4,377,None,None,1464307,10090(Mus musculus),9986(Oryctolagus cuniculus)
LIG_Actin_WH2_2,PF00022,A2VCK8,P68135,3,21,4,377,0.64,0.88,"861,719,516,275,905",9606(Homo sapiens),9986(Oryctolagus cuniculus)
LIG_Actin_WH2_2,PF00022,Q9U1K1,P68135,400,417,4,377,None,None,"205,389,771,055,605,000,000,000",7227(Drosophila melanogaster),9986(Oryctolagus cuniculus)
LIG_Actin_WH2_2,PF00022,Q9U1K1,P10987,400,417,3,376,None,None,"205,389,771,055,605,000,000,000",7227(Drosophila melanogaster),7227(Drosophila melanogaster)
LIG_Actin_WH2_2,PF00022,Q9U1K1,P02578,370,386,2,375,None,None,15674283,7227(Drosophila melanogaster),5755(Acanthamoeba castellanii)
LIG_Actin_WH2_2,PF00022,Q9U1K1,P02578,400,417,2,375,None,None,"205,389,771,055,605,000,000,000",7227(Drosophila melanogaster),5755(Acanthamoeba castellanii)
LIG_Actin_WH2_2,PF00022,Q9U1K1,P02578,432,448,2,375,None,None,15674283,7227(Drosophila melanogaster),5755(Acanthamoeba castellanii)
LIG_Actin_WH2_2,PF00022,Q9U1K1,P68139,400,417,4,377,None,None,"205,389,771,055,605,000,000,000",7227(Drosophila melanogaster),9031(Gallus gallus)
LIG_Actin_WH2_1,PF00022,O43516,P68135,33,49,4,377,0.15,0.17,16275905,9606(Homo sapiens),9986(Oryctolagus cuniculus)
LIG_Actin_WH2_1,PF00022,P42768,P68135,431,447,4,377,0.6,0.6,"1,114,662,916,275,900",9606(Homo sapiens),9986(Oryctolagus cuniculus)
LIG_Actin_WH2_1,PF00022,Q9Y6W5,P68135,437,453,4,377,0.049,0.055,16275905,9606(Homo sapiens),9986(Oryctolagus cuniculus)
LIG_Actin_WH2_1,PF00022,Q9U1K1,P68135,464,480,4,377,None,None,"205,389,771,055,605,000,000,000",7227(Drosophila melanogaster),9986(Oryctolagus cuniculus)
LIG_Actin_WH2_1,PF00022,Q9U1K1,P10987,464,480,3,376,None,None,"205,389,771,055,605,000,000,000",7227(Drosophila melanogaster),7227(Drosophila melanogaster)
LIG_Actin_WH2_1,PF00022,Q92558,P02578,498,514,2,375,2.6,3.6,"1,114,662,916,403,730",9606(Homo sapiens),5755(Acanthamoeba castellanii)
LIG_Actin_WH2_1,PF00022,Q9U1K1,P02578,464,480,2,375,None,None,"205,389,771,055,605,000,000,000",7227(Drosophila melanogaster),5755(Acanthamoeba castellanii)
LIG_Actin_WH2_1,PF00022,Q92558,P68135,498,514,4,377,0.1,0.1,"1,114,662,916,403,730",9606(Homo sapiens),9986(Oryctolagus cuniculus)
LIG_Actin_WH2_1,PF00022,Q9U1K1,P68139,464,480,4,377,None,None,"205,389,771,055,605,000,000,000",7227(Drosophila melanogaster),9031(Gallus gallus)
LIG_Actin_RPEL_3,PF00022,Q8K4J6,P68135,17,36,4,377,4.9,5.9,"1,900,885,912,732,140,000,000,000,000,000,000,000,000",10090(Mus musculus),9986(Oryctolagus cuniculus)
LIG_Actin_RPEL_3,PF00022,Q8K4J6,P68135,61,80,4,377,2.1,2.5,"190,088,592,167,331,000,000,000,000,000,000,000,000,000,000,000",10090(Mus musculus),9986(Oryctolagus cuniculus)
LIG_Actin_RPEL_3,PF00022,Q8K4J6,P68135,105,124,4,377,17.8,19.8,"1,900,885,912,732,140,000,000,000,000,000,000,000,000",10090(Mus musculus),9986(Oryctolagus cuniculus)
LIG_Actin_RPEL_3,PF00022,Q9ULH7,P62736,42,61,4,377,None,None,14565952,9606(Homo sapiens),9606(Homo sapiens)
LIG_Actin_RPEL_3,PF00022,Q9ULH7,P62736,86,105,4,377,None,None,14565952,9606(Homo sapiens),9606(Homo sapiens)
LIG_Actin_RPEL_3,PF00022,Q9ULH7,P62736,130,149,4,377,None,None,14565952,9606(Homo sapiens),9606(Homo sapiens)
LIG_Actin_RPEL_3,PF00022,Q8VIM5,P68135,20,39,4,377,14.6,16.2,18025109,10090(Mus musculus),9986(Oryctolagus cuniculus)
LIG_Actin_RPEL_3,PF00022,Q8VIM5,P68135,64,83,4,377,None,None,18025109,10090(Mus musculus),9986(Oryctolagus cuniculus)
LIG_Actin_RPEL_3,PF00022,Q8VIM5,P68135,108,127,4,377,16.4,16.8,18025109,10090(Mus musculus),9986(Oryctolagus cuniculus)
LIG_PDZ_Class_2,PF00595,Q07310,O35889,1573,1578,1014,1097,None,None,9707552,10116(Rattus norvegicus),10116(Rattus norvegicus)
LIG_PDZ_Class_1,PF00595,Q9QUH6,P31016,1303,1308,None,None,None,None,9581761,10116(Rattus norvegicus),10116(Rattus norvegicus)
LIG_PDZ_Class_1,PF00595,Q9QUH6,Q62936,1303,1308,None,None,None,None,9581761,10116(Rattus norvegicus),10116(Rattus norvegicus)
DOC_PP1_RVXF_1,PF00149,P06400,P62136,871,878,57,252,3.9,3.9,20694007,9606(Homo sapiens),9606(Homo sapiens)
LIG_LYPXL_L_2,PF13949,P03347,Q8WUM4,495,504,408,702,None,None,"1,450,556,918,066,080,000,000,000,000,000,000,000,000",11678(Human immunodeficiency virus type 1 BH10),9606(Homo sapiens)
